image_id,category,yousha_A_source_cultural_appropriateness,simran_A_source_cultural_appropriateness,avg_human_A_source_cultural_appropriateness,gemini_A_source_cultural_appropriateness,yousha_B_adapted_cultural_appropriateness,simran_B_adapted_cultural_appropriateness,avg_human_B_adapted_cultural_appropriateness,gemini_B_adapted_cultural_appropriateness,yousha_C_semantic_preservation,simran_C_semantic_preservation,avg_human_C_semantic_preservation,gemini_C_semantic_preservation,yousha_D_visual_coherence,simran_D_visual_coherence,avg_human_D_visual_coherence,gemini_D_visual_coherence,yousha_E_structural_similarity,simran_E_structural_similarity,avg_human_E_structural_similarity,gemini_E_structural_similarity,yousha_overall_success,simran_overall_success,avg_human_overall_success,gemini_overall_success
education_computer-classes,education,1,5,3.0,2,4,5,4.5,4,4,5,4.5,5,5,5,5.0,4,5,5,5.0,5,5,5,5.0,4
beverages_zobo,beverages,3,5,4.0,2,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
utensil_meat-grinder,utensil,4,4,4.0,3,4,4,4.0,3,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,0,3,1.5,0
vegetable_wasabi,vegetable,2,4,3.0,1,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
religion_kardecist-spiritism,religion,1,1,1.0,1,5,5,5.0,5,5,5,5.0,5,4,4,4.0,5,3,5,4.0,4,4,4,4.0,5
music_bossa-nova,music,1,2,1.5,2,5,3,4.0,5,4,3,3.5,5,4,2,3.0,4,4,4,4.0,5,4,1,2.5,5
sport_canoeing,sport,1,3,2.0,2,4,5,4.5,5,2,5,3.5,5,4,5,4.5,5,2,5,3.5,3,2,5,3.5,5
celebrations_christmas,celebrations,1,4,2.5,1,5,5,5.0,5,5,4,4.5,5,5,4,4.5,5,5,5,5.0,5,5,4,4.5,5
mammal_african-forest-elephant,mammal,5,5,5.0,3,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,0,5,2.5,5
beverages_mate,beverages,1,2,1.5,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,5,5,5.0,5
utensil_cutting-board,utensil,5,5,5.0,3,5,4,4.5,5,5,5,5.0,5,5,4,4.5,4,5,5,5.0,5,0,0,0.0,5
agriculture_vindima,agriculture,1,3,2.0,2,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5
religion_deism,religion,1,3,2.0,1,5,3,4.0,5,1,5,3.0,5,2,4,3.0,5,2,5,3.5,4,1,2,1.5,5
vegetable_renkon,vegetable,1,2,1.5,3,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,5,5,5.0,5
utensil_pressure-cooking,utensil,5,3,4.0,5,5,3,4.0,5,5,2,3.5,5,5,2,3.5,5,5,5,5.0,5,0,0,0.0,0
sport_futsal,sport,1,2,1.5,3,4,3,3.5,5,4,5,4.5,5,4,3,3.5,5,4,5,4.5,4,4,3,3.5,5
visual-arts_ukiyo-e,visual-arts,1,2,1.5,1,5,5,5.0,5,4,5,4.5,5,3,5,4.0,5,2,5,3.5,1,2,5,3.5,4
houses_california-bungalow,houses,1,1,1.0,1,3,3,3.0,2,5,5,5.0,5,2,3,2.5,4,4,5,4.5,5,2,2,2.0,0
